"game_id","game_pk","game_date","opponent","final_away_runs","final_home_runs","inning","top_bottom","batter","at_bat_event","pitch_type_code","pitch_category","has_bangs","bangs","call_code","description","on_1b","on_2b","on_3b","youtube_id","pitch_youtube_seconds","youtube_url","pitch_datetime","game_pitch_id","event_number","pitch_playid","atbat_playid","away_team_id","home_team_id"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","George Springer","Home Run","SI","FB","n",,"B","Ball","f","f","f","af5e55Cc8ZA","1473","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1473","3/4/2017 19:24:41-05:05","170404002442","32","ca9ed282-a9c3-45a6-ac10-d216fae7ce8b","1421aabe-7063-4902-9a46-4b2c239394cb","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","George Springer","Home Run","SI","FB","n",,"F","Foul","f","f","f","af5e55Cc8ZA","1489","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1489","3/4/2017 19:24:57-05:05","170404002458","33","7f89900c-faed-485c-a6b6-41c0a2b1c26f","1421aabe-7063-4902-9a46-4b2c239394cb","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","George Springer","Home Run","SL","BR","n",,"B","Ball","f","f","f","af5e55Cc8ZA","1512","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1512","3/4/2017 19:25:20-05:05","170404002521","34","6c875b0c-b4e3-4521-b1c0-447ee785bff9","1421aabe-7063-4902-9a46-4b2c239394cb","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","George Springer","Home Run","SI","FB","n",,"E","In play, run(s)","f","f","f","af5e55Cc8ZA","1529","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1529","3/4/2017 19:25:37-05:05","170404002538","35","1421aabe-7063-4902-9a46-4b2c239394cb","1421aabe-7063-4902-9a46-4b2c239394cb","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Alex Bregman","Single","FF","FB","n",,"D","In play, no out","f","f","f","af5e55Cc8ZA","1580","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1580","3/4/2017 19:26:28-05:05","170404002636","40","3a7c0b8b-3b0c-4832-90d0-5d8425d0b995","3a7c0b8b-3b0c-4832-90d0-5d8425d0b995","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Jose Altuve","Strikeout","SI","FB","n",,"B","Ball","t","f","f","af5e55Cc8ZA","1634","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1634","3/4/2017 19:27:22-05:05","170404002722","44","011da0e3-2259-4ddb-a0db-c884d3c652b3","0813793b-63a1-4179-b681-675180afe82d","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Jose Altuve","Strikeout","SL","BR","y","1B","C","Called Strike","t","f","f","af5e55Cc8ZA","1658","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1658","3/4/2017 19:27:46-05:05","170404002747","45","6ee768dd-ac64-4616-8e70-e849f4fa62d5","0813793b-63a1-4179-b681-675180afe82d","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Jose Altuve","Strikeout","FF","FB","n",,"F","Foul","t","f","f","af5e55Cc8ZA","1688","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1688","3/4/2017 19:28:16-05:05","170404002817","47","353fcbf5-ccb2-426e-be40-a682bbceda52","0813793b-63a1-4179-b681-675180afe82d","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Jose Altuve","Strikeout","CH","CH","n",,"B","Ball","t","f","f","af5e55Cc8ZA","1717","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1717","3/4/2017 19:28:45-05:05","170404002846","48","31e717f9-821a-4232-923f-590e79323ae2","0813793b-63a1-4179-b681-675180afe82d","136","117"
"2017_04_03_seamlb_houmlb_1","490111","3/4/2017","SEA","0","3","1","bottom","Jose Altuve","Strikeout","CH","CH","n",,"B","Ball","t","f","f","af5e55Cc8ZA","1743","https://www.youtube.com/watch?v=af5e55Cc8ZA&t=1743","3/4/2017 19:29:11-05:05","170404002912","49","2a83d709-6ca1-4b7c-99b4-9fceebb3474f","0813793b-63a1-4179-b681-675180afe82d","136","117"
